SampleID,Date,Time,Location,RSC,Up_or_down,Storm_progress_obs,staff_gauge_ft,Temp_deg_C,Pressure_PSI,DO_percent_L,DO_mg_per_L,SPC__S_per_cm,pH,ORP_mV,NTU,Depth_m,NH4_uM,NH4_mg/L,NO3+NO2_uM,NO3+NO2_mgL,PO4_uM,PO4_mg/L,Cl_uM,Cl_mg/L,DOC_mg/L,TDN_mg/L,TSS_mg/L
Ophelia_01,9/22/23,6:20,IS_Up,In-stream,Upstream,pre-event,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71,0.08,54.27,0.76,3.8,0.12,633.47,22.46,1.7,1.51,17.33
Ophelia_02,9/22/23,6:26,IS_Down,In-stream,Downstream,pre-event,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,0.07,35.89,0.5,1.93,0.06,646.97,22.94,2.07,1.34,98.15
Ophelia_03,9/22/23,9:08,IS_Up,In-stream,Upstream,rising_limb,NA,21,14.762,82,7.3,355.6,6.3,197,-0.15,0.601,4.88,0.07,52.07,0.73,3.77,0.12,670.8,23.78,1.94,1.5,-7.69
Ophelia_04,9/22/23,9:03,IS_Down,In-stream,Downstream,rising_limb,NA,21.2,14.767,57,5.1,306.8,6.06,170.9,1,0.29,5.05,0.07,38.22,0.54,1.37,0.04,651.22,23.09,1.84,1.33,9.76
Ophelia_05,9/22/23,11:14,IS_Down,In-stream,Downstream,rising_limb,NA,21.2,14.757,74,6.6,308.7,6.11,181.5,0.49,0.23,4.56,0.06,38.27,0.54,1.72,0.05,670.64,23.78,2.12,1.33,10.67
Ophelia_06,9/22/23,11:19,IS_Up,In-stream,Upstream,rising_limb,NA,21.1,14.751,120,10.7,359.5,6.35,205.5,-0.11,0.438,5.1,0.07,53.23,0.75,3.54,0.11,676.18,23.97,1.8,1.48,20.22
Ophelia_07,9/22/23,13:25,IS_Down,In-stream,Downstream,rising_limb,NA,21.1,14.735,85,7.5,312.3,6.24,192.9,0.55,0.295,5.01,0.07,40.22,0.56,1.96,0.06,656.1,23.26,1.9,1.34,14.32
Ophelia_08,9/22/23,13:29,IS_Up,In-stream,Upstream,rising_limb,NA,21,14.733,103,9.2,364.7,6.39,200.5,-0.02,0.558,3.94,0.06,54.66,0.77,3.3,0.1,644.92,22.86,1.71,1.46,16
Ophelia_09,9/22/23,13:34,Dr_Up,Dry,Upstream,rising_limb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.16,0.2,29.1,0.41,3.17,0.1,215.09,7.63,9.09,1.56,12.89
Ophelia_10,9/22/23,17:24,Dr_Up,Dry,Upstream,stormflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79,0.04,5.71,0.08,0.24,0.01,14.04,0.5,2.74,1.06,0.44
Ophelia_11,9/22/23,17:31,IS_Down,In-stream,Downstream,stormflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.69,0.07,13,0.18,1.46,0.05,51.51,1.83,2.7,1.13,9.56
Ophelia_12,9/22/23,17:34,IS_Up,In-stream,Upstream,stormflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,0.06,15.79,0.22,1.03,0.03,52.91,1.88,2.65,1.15,7.56
Ophelia_13,9/22/23,21:17,Dr_Down,Dry,Downstream,stormflow,NA,13.7,14.623,101,9.2,29.9,6.94,216.8,5.33,0.068,0.95,0.01,13.97,0.2,0.21,0.01,28.09,1,2.37,1.08,6.44
Ophelia_14,9/22/23,21:19,Dr_Up,Dry,Upstream,stormflow,NA,20,14.616,100,9.1,36.9,7.05,211.4,0.65,0.064,1.81,0.03,11.21,0.16,0.17,0.01,5.98,0.21,2.58,1.08,1.56
Ophelia_15,9/22/23,21:30,IS_Down,In-stream,Downstream,stormflow,NA,21,14.623,96,8.5,50.9,6.3,204.9,6.5,0.229,3.2,0.04,15.25,0.21,1.63,0.05,41.33,1.47,2.89,1.15,7.78
Ophelia_16,9/22/23,21:37,IS_Up,In-stream,Upstream,stormflow,NA,21.1,14.616,94,8.3,56.4,6.27,218.1,6.67,1.021,3.74,0.05,17.21,0.24,1.99,0.06,55.84,1.98,3.28,1.16,10.67
Ophelia_17,9/23/23,6:01,Dr_Down,Dry,Downstream,stormflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0.01,7.19,0.1,0.07,0,119.64,4.24,1.54,1.05,16.67
Ophelia_18,9/23/23,6:02,Dr_Up,Dry,Upstream,stormflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,0.02,5.24,0.07,-0.5,-0.02,104.59,3.71,1.37,1,0.44
Ophelia_19,9/23/23,6:07,IS_Down,In-stream,Downstream,stormflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62,0.04,7.46,0.1,1.4,0.04,201.96,7.16,2.04,1.07,6.67
Ophelia_20,9/23/23,6:10,IS_Up,In-stream,Upstream,stormflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,0.03,6.62,0.09,1.01,0.03,177.76,6.3,1.85,1.05,6.89
Ophelia_21,9/23/23,13:57,Dr_Up,Dry,Upstream,falling_limb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.01,26.75,0.37,-0.12,0,54.02,1.92,13.56,1.48,5.23
Ophelia_22,9/23/23,13:58,Dr_Up,Dry,Upstream,falling_limb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.01,28.5,0.4,0.64,0.02,52.49,1.86,14.16,1.55,32.68
Ophelia_23,9/23/23,14:07,IS_Down,In-stream,Downstream,falling_limb,NA,20.6,14.507,98,8.7,85.8,6.58,362.5,11.3,0.288,2.57,0.04,26.89,0.38,3.8,0.12,87.04,3.09,4.08,1.29,12.11
Ophelia_24,9/23/23,14:13,IS_Up,In-stream,Upstream,falling_limb,NA,20.7,14.504,93,8.3,94.5,6.44,395.4,12.94,1.031,2.74,0.04,29.31,0.41,3.47,0.11,80.6,2.86,4.26,1.32,12.75
Ophelia_25,9/23/23,17:33,5th St. Apartment,Composite,Composite,composite_precip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47,0.03,1.34,0.02,-0.22,-0.01,8.2,0.29,0.66,1,-1.78
Ophelia_26,9/23/23,21:32,IS_Down,In-stream,Downstream,falling_limb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.71,0.04,46.92,0.66,2.38,0.07,122.88,4.36,4.75,1.44,13.33
Ophelia_27,9/23/23,21:34,IS_Up,In-stream,Upstream,falling_limb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,0.05,48.5,0.68,1.6,0.05,139.95,4.96,5.14,1.49,12.47
Ophelia_28,9/24/23,7:10,IS_Down,In-stream,Downstream,falling_limb,NA,20.5,14.684,79,7.1,215.9,6.46,256.8,7.45,0.399,0.81,0.01,77.15,1.08,2.11,0.07,255.39,9.05,3.53,1.7,13.73
Ophelia_29,9/24/23,7:18,IS_Up,In-stream,Upstream,falling_limb,NA,21.4,14.684,80,7.1,265,6.61,278.1,8.34,0.575,1.86,0.03,83.37,1.17,2.24,0.07,301.94,10.7,4.88,1.91,19.25